               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.080566,            0.014248,            0.019288,             0.94785,             0.43062,             0.59247,             0.14841,            0.076216,            0.010902,            0.014558,             0.03378,           0.0067797,           0.0067797
                  37,            0.078729,            0.014375,            0.018153,             0.15513,                0.85,             0.24041,            0.070779,            0.084194,           0.0096058,            0.013443,            0.031951,           0.0069505,           0.0069505
                  38,            0.080629,            0.014341,            0.018299,             0.60975,                0.95,             0.91284,             0.24524,            0.079255,           0.0093942,            0.013254,            0.030121,           0.0071207,           0.0071207
                  39,            0.081664,             0.01543,            0.018748,             0.60975,                0.95,             0.91284,             0.24524,            0.079255,           0.0093942,            0.013254,             0.02829,             0.00729,             0.00729
                  40,            0.072311,            0.013531,            0.015085,             0.33122,                 0.4,             0.58857,             0.18086,            0.065569,            0.010409,            0.012564,            0.026458,           0.0074585,           0.0074585
                  41,            0.074633,             0.01614,            0.015682,             0.25441,             0.25971,             0.40131,             0.18153,            0.083768,           0.0086901,            0.010453,            0.024626,           0.0076262,           0.0076262
                  42,            0.092058,            0.012661,            0.016603,             0.25441,             0.25971,             0.40131,             0.18153,            0.083768,           0.0086901,            0.010453,            0.022793,           0.0077931,           0.0077931
                  43,            0.090562,            0.014204,            0.015611,             0.58527,                   1,             0.71138,             0.22127,            0.065154,           0.0099364,           0.0099424,            0.020959,           0.0079593,           0.0079593
                  44,            0.069214,            0.014322,            0.026996,             0.58527,                   1,             0.71138,             0.22127,            0.065154,           0.0099364,           0.0099424,            0.019125,           0.0081246,           0.0081246
                  45,             0.06881,            0.017405,            0.015146,             0.13201,                0.75,             0.23476,            0.074183,            0.074428,           0.0089943,           0.0094607,            0.017289,           0.0082892,           0.0082892
                  46,            0.080832,             0.01928,            0.014799,             0.13201,                0.75,             0.23476,            0.074183,            0.074428,           0.0089943,           0.0094607,            0.015453,            0.008453,            0.008453
                  47,            0.082938,            0.014372,            0.015496,              0.1709,                 0.8,             0.26742,            0.080377,            0.074152,           0.0089212,           0.0087166,            0.013616,           0.0086159,           0.0086159
